iter	RMSE
172	0.1498397271
173	0.1494311416
174	0.1493033046
175	0.1491768022
176	0.1488723277
177	0.1487247991
178	0.1484396801
179	0.1483060025
180	0.1481359072
181	0.1478833208
182	0.1474210446
183	0.1473091758
184	0.1471394954
185	0.1470057427
186	0.146695055
187	0.1464430157
188	0.1463337377
189	0.1461666218
190	0.1459207661
191	0.1456960012
192	0.145356443
193	0.1450134344
194	0.1448695258
195	0.1443882543
196	0.144257297
197	0.1441114157
198	0.1439221476
199	0.1436596767
200	0.1434062679
201	0.1432046283
202	0.1429018209
203	0.142766765
204	0.1425961449
205	0.1424553714
206	0.1422924795
207	0.1421396769
208	0.1420049046
209	0.1418880457
210	0.1417411341
211	0.1414159352
212	0.1413079488
213	0.1411232937
214	0.1409195917
215	0.1407508667
216	0.140665479
217	0.1404719146
218	0.1403221674
219	0.1401326411
220	0.1399902848
221	0.1399157983
222	0.1397956838
223	0.1395138853
224	0.139270061
225	0.1391452815
226	0.1389413242
227	0.1387858727
228	0.1386281678
229	0.1384717975
230	0.1378289144
231	0.1377093758
232	0.1375562359
233	0.1374236879
234	0.1371459153
235	0.1368537913
236	0.1367124917
237	0.1364657609
238	0.1363510315
239	0.1359983115
240	0.1357723351
241	0.1356851547
242	0.1354713793
243	0.1352970702
244	0.1351730829
245	0.1349617617
246	0.1348016752
247	0.134548143
248	0.1343662024
249	0.134092573
250	0.1339635917
251	0.1335927907
252	0.1334844953
253	0.133262332
254	0.1329607974
255	0.1328172321
256	0.1326420046
257	0.1325660225
258	0.1324440054
259	0.1322978857
260	0.1320935224
261	0.1317258979
262	0.1315119629
263	0.1312501272
264	0.1311262399
265	0.1309923244
266	0.1308681068
267	0.130763596
268	0.13061413
269	0.1305055627
270	0.1303647356
271	0.13024485
272	0.1300713412
273	0.1299611328
274	0.1298430899
275	0.1296956254
276	0.1295829278
277	0.1294338256
278	0.1292401149
279	0.1291570145
280	0.1289466049
281	0.1288585793
282	0.128789738
283	0.1286446357
284	0.128374188
285	0.1282921534
286	0.1281386091
287	0.1279215264
288	0.1277461548
289	0.1275609189
290	0.1274721136
291	0.1273030898
292	0.1272213762
293	0.1271282804
294	0.1269818187
295	0.1268206544
296	0.1267196029
297	0.1265992841
298	0.1265253358
299	0.1264219593
300	0.126323194
301	0.1262301013
302	0.1260018661
303	0.1258587373
304	0.1257915613
305	0.1257403846
306	0.1256522397
307	0.1254550305
308	0.1252691712
309	0.12516585
310	0.1250396379
311	0.1249612809
312	0.1248728949
313	0.1246871367
314	0.1244908214
315	0.1243720919
316	0.1242043984
317	0.1241165434
318	0.1240649479
319	0.123960583
320	0.1238544241
321	0.1237618259
322	0.1237054156
323	0.1236011202
324	0.1234578681
325	0.1233406307
326	0.1230740269
327	0.1229795079
328	0.1229293982
329	0.1228238075
330	0.1226886212
331	0.122593935
332	0.1225151118
333	0.1224273441
334	0.1223284386
335	0.122258558
336	0.122019199
337	0.1218902236
338	0.1217832807
339	0.1216926065
340	0.1216175535
341	0.1215351398
342	0.1214927662
343	0.1213483846
344	0.1212277928
345	0.1210822041
346	0.1207807898
347	0.120687633
348	0.1206389854
349	0.1204913033
350	0.1204124514
351	0.120265242
352	0.1200490597
353	0.1198688869
354	0.1197895611
355	0.1197052122
356	0.1195437774
357	0.1194224982
358	0.1193914792
359	0.1193465953
360	0.1193187674
361	0.1190170083
362	0.1189511233
363	0.1187894467
364	0.1185382542
365	0.1184264866
366	0.1183678831
367	0.1182584893
368	0.1181935751
369	0.1181077969
370	0.1180434466
371	0.1178639358
372	0.1177748073
373	0.1176217423
374	0.1175377321
375	0.1174095821
376	0.1172961647
377	0.1172182255
378	0.1171577131
379	0.1169182208
380	0.1167729655
381	0.1167118647
382	0.1164668088
383	0.1164421448
384	0.1163423696
385	0.116190203
386	0.1161041903
387	0.1160004648
388	0.1159252436
389	0.115898375
390	0.1158050583
391	0.1157165025
392	0.1156385636
393	0.1156092366
394	0.1155327091
395	0.1154649959
396	0.1153936868
397	0.1151621911
398	0.1150978749
399	0.1150059115
400	0.1149181202
401	0.1148039957
402	0.1146802912
403	0.1146166738
404	0.1145556945
405	0.1144313618
406	0.1143453721
407	0.1142735533
408	0.1141108628
409	0.114033499
410	0.1139643917
411	0.1138771483
412	0.11377346
413	0.1136376631
414	0.1135677613
415	0.1133939962
416	0.113343764
417	0.1132862101
418	0.1131882949
419	0.1130524625
420	0.112939291
421	0.1128463904
422	0.1128125787
423	0.112651538
424	0.1125998194
425	0.1125836961
426	0.1124389563
427	0.1123473064
428	0.1122369503
429	0.1121507018
430	0.1118821245
431	0.1117797612
432	0.1117283818
433	0.1116716538
434	0.1115831527
435	0.1114976014
436	0.1113963115
437	0.1113074666
438	0.1112165769
439	0.111149614
440	0.111024475
441	0.1109658795
442	0.1108829658
443	0.1108022971
444	0.1106863068
445	0.1106281431
446	0.1105428054
447	0.1104812131
448	0.1103985224
449	0.1102854988
450	0.1101608548
451	0.1100290715
452	0.1099686998
453	0.1099140617
